year,source,type,title,url,doi,article_doi,matched_term
2021,dryad,dataset,Home-based exercise for people living with frailty and chronic kidney disease: a mixed-methods pilot randomised controlled trial,https://datadryad.org/dataset/10.5061/dryad.3ffbg79hp,10.5061/dryad.3ffbg79hp,,musculoskeletal pain
2021,dryad,dataset,"Fatal and non-fatal events within 14 days after early, intensive mobilization post stroke",https://datadryad.org/dataset/10.5061/dryad.9s4mw6mcq,10.5061/dryad.9s4mw6mcq,,rehabilitation trial
2021,dryad,dataset,Telerehabilitation program for COVID-19 survivors (TERECO) - Randomized controlled trial,https://datadryad.org/dataset/10.5061/dryad.59zw3r27n,10.5061/dryad.59zw3r27n,,rehabilitation trial
2021,dryad,dataset,Efficacy of high-intensity aerobic exercise on brain MRI measures in multiple sclerosis,https://datadryad.org/dataset/10.5061/dryad.3ffbg79fs,10.5061/dryad.3ffbg79fs,,exercise intervention
2021,dryad,dataset,Sham therapy vs manual therapy and control dataset for meta-analyses,https://datadryad.org/dataset/10.5061/dryad.v9s4mw6tb,10.5061/dryad.v9s4mw6tb,,manual therapy
2021,dryad,dataset,Clinical trial eligibility in COVID-19 patients,https://datadryad.org/dataset/10.5061/dryad.v41ns1rtx,10.5061/dryad.v41ns1rtx,,manual therapy
2021,dryad,dataset,Accompanied versus unaccompanied walking for continuous oxygen saturation measurement during 6-min walk test in COPD: A randomised cross-over study,https://datadryad.org/dataset/10.5061/dryad.gmsbcc2n7,10.5061/dryad.gmsbcc2n7,,pulmonary rehabilitation
2021,zenodo,software,Excel Macro for Lung Volume Recruitment Counter Data (Omega Data Logger).,https://zenodo.org/records/4587974,10.5281/zenodo.4587974,,physiotherapy
2021,zenodo,dataset,20210422_PhysicalRahab_Cognition_last,https://zenodo.org/records/4710446,10.5281/zenodo.4710446,,physical therapy
2021,zenodo,dataset,Capacitive resistive monopolar radiofrequency at 448 kHz plus exercise versus exercise alone for subacromial pain: Randomized sham-controlled clinical trial.,https://zenodo.org/records/5596473,10.5281/zenodo.5596473,,physical therapy
2021,zenodo,dataset,"Dataset related to article: ""Pain, disability and adherence to home exercises in patients with chronic neck pain: long term effects of phone surveillance. A randomized controlled study""",https://zenodo.org/records/5497455,10.5281/zenodo.5497455,,neck pain
2021,zenodo,dataset,Effect of a single application of Scenar for pain relief in patients with low back and neck pain,https://zenodo.org/records/5259367,10.5061/dryad.63xsj3v2s,,neck pain
2021,zenodo,dataset,Telerehabilitation program for COVID-19 survivors (TERECO) - Randomized controlled trial,https://zenodo.org/records/5090828,10.5061/dryad.59zw3r27n,,telerehabilitation
2021,zenodo,dataset,Sham therapy vs manual therapy and control dataset for meta-analyses,https://zenodo.org/records/4647701,10.5061/dryad.v9s4mw6tb,,manual therapy
2021,zenodo,dataset,Publication rate and consistency of registered trials of motor-based stroke rehabilitation,https://zenodo.org/records/4439231,10.5281/zenodo.4439231,,stroke rehabilitation
2020,dryad,dataset,Data from: Initiating Antiretroviral Therapy for HIV at a Patient’s First Clinic Visit: The RapIT Randomized Controlled Trial,https://datadryad.org/dataset/10.5061/dryad.vx0k6djp9,10.5061/dryad.vx0k6djp9,,physical therapy
2020,dryad,dataset,Different intensity exercise and verbal spatial working memory data,https://datadryad.org/dataset/10.5061/dryad.bcc2fqz92,10.5061/dryad.bcc2fqz92,,exercise intervention
2020,dryad,dataset,Terrestrial acclimation and exercise lead to bone functional response in Polypterus pectoral fins,https://datadryad.org/dataset/10.5061/dryad.0vt4b8gwc,10.5061/dryad.0vt4b8gwc,,exercise intervention
2020,dryad,dataset,Data from: BCI training to move a virtual hand reduces phantom limb pain: a randomized crossover trial,https://datadryad.org/dataset/10.5061/dryad.15dv41nt9,10.5061/dryad.15dv41nt9,,chronic pain trial
2020,zenodo,dataset,"Effects of cervical traction, infrared therapy, and selected biomarkers on neck disability indexes among people with cervical spondylosis: A sequential clinical trial",https://zenodo.org/records/4337859,10.5281/zenodo.4337859,,physiotherapy
2020,zenodo,dataset,"Serial correlation of temporal pain intensities with beta-endorphin and meta-enkephalin concentrations, following Transcutaneous Electrical Nerve Stimulation among patients with chronic low ",https://zenodo.org/records/3739776,10.5281/zenodo.3739776,,low back pain
2020,zenodo,dataset,Home-Based Resistance Training for Older Subjects during the COVID-19 Outbreak in Italy: Preliminary Results of a Six-Months RCT,https://zenodo.org/records/4559595,10.3390/ijerph17249533,,resistance training
2020,zenodo,dataset,Patient-reported outcomes predict return to work and health-related quality of life 6 months after cardiac rehabilitation: Results from a German multi-centre registry (OutCaRe): dataset,https://zenodo.org/records/3605618,10.5281/zenodo.3605618,,cardiac rehabilitation
2019,dryad,dataset,Data from: Genetic determinants of disease severity in the myotonic dystrophy type 1 OPTIMISTIC cohort,https://datadryad.org/dataset/10.5061/dryad.t063q70,10.5061/dryad.t063q70,,exercise therapy
2019,dryad,dataset,Data from: The Fear Reduction Exercised Early (FREE) approach to management of low back pain in general practice: a pragmatic cluster-randomised controlled trial,https://datadryad.org/dataset/10.5061/dryad.4t375b2,10.5061/dryad.4t375b2,,low back pain
2019,dryad,dataset,Data from: Randomized study of the impact of a therapeutic education program on patients suffering from chronic low-back pain who are treated with transcutaneous electrical nerve stimulation,https://datadryad.org/dataset/10.5061/dryad.84nj034,10.5061/dryad.84nj034,,low back pain
2019,dryad,dataset,Data from: Cognitive approach to rehabilitation in children with hyperkinetic movement disorders post-DBS,https://datadryad.org/dataset/10.5061/dryad.5r06h3c,10.5061/dryad.5r06h3c,,rehabilitation trial
2019,dryad,dataset,"Effects of supervised exercise training during pregnancy on psychological well-being among overweight and obese women:  Secondary analyses of the ETIP-trial, a randomized controlled trial.",https://datadryad.org/dataset/10.5061/dryad.pvmcvdng6,10.5061/dryad.pvmcvdng6,,exercise intervention
2019,dryad,dataset,Data from: Early MoCA predicts long-term cognitive and functional outcome and mortality after stroke,https://datadryad.org/dataset/10.5061/dryad.7h083rd,10.5061/dryad.7h083rd,,stroke rehabilitation
2019,dryad,dataset,Data from: Cannabis analgesia in chronic neuropathic pain is associated with altered brain connectivity,https://datadryad.org/dataset/10.5061/dryad.df6qd5n,10.5061/dryad.df6qd5n,,chronic pain trial
2019,dryad,dataset,Data from: Effect of aerobic exercise on cognition in younger adults: a randomized clinical trial,https://datadryad.org/dataset/10.5061/dryad.10n4r3g,10.5061/dryad.10n4r3g,,exercise randomized controlled trial
2019,zenodo,dataset,Data from: The Fear Reduction Exercised Early (FREE) approach to management of low back pain in general practice: a pragmatic cluster-randomised controlled trial,https://zenodo.org/records/5013669,10.5061/dryad.4t375b2,,low back pain
2019,zenodo,dataset,Data from: Randomized study of the impact of a therapeutic education program on patients suffering from chronic low-back pain who are treated with transcutaneous electrical nerve stimulation,https://zenodo.org/records/4982253,10.5061/dryad.84nj034,,low back pain
2019,zenodo,dataset,"Effects of supervised exercise training during pregnancy on psychological well-being among overweight and obese women:  Secondary analyses of the ETIP-trial, a randomized controlled trial.",https://zenodo.org/records/5023958,10.5061/dryad.pvmcvdng6,,resistance training
2018,dryad,dataset,Data from: Early rehabilitation to prevent post-intensive care syndrome in critically ill patients: a systematic review and meta-analysis,https://datadryad.org/dataset/10.5061/dryad.12q6c78,10.5061/dryad.12q6c78,,rehabilitation trial
2018,dryad,dataset,"Data from: Effect of ecological momentary assessment, goal-setting and personalized phone-calls on adherence to interval walking training using the InterWalk application among patients with ",https://datadryad.org/dataset/10.5061/dryad.nn08r1c,10.5061/dryad.nn08r1c,,exercise intervention
2017,dryad,dataset,Data from: The effect of sitagliptin on carotid artery atherosclerosis in Type 2 Diabetes: the PROLOGUE randomized controlled trial,https://datadryad.org/dataset/10.5061/dryad.qt743,10.5061/dryad.qt743,,exercise therapy
2017,dryad,dataset,Data from: A novel brief therapy for patients who attempt suicide: a 24-months follow-up randomized controlled study of the Attempted Suicide Short Intervention Program (ASSIP),https://datadryad.org/dataset/10.5061/dryad.85nf3,10.5061/dryad.85nf3,,manual therapy
2016,dryad,dataset,Data from: Optimal cardiac resynchronization therapy pacing rate in non-ischemic heart failure patients: a randomized crossover pilot trial,https://datadryad.org/dataset/10.5061/dryad.ts183,10.5061/dryad.ts183,,exercise therapy
2016,dryad,dataset,Data from: Musculoskeletal pain as a marker of health quality. Findings from the epidemiological sleep study among the adult population of São Paulo city,https://datadryad.org/dataset/10.5061/dryad.h3k43,10.5061/dryad.h3k43,,low back pain
2016,dryad,dataset,Data from: Early sitting in ischemic stroke patients (SEVEL): a randomized controlled trial,https://datadryad.org/dataset/10.5061/dryad.jh15q,10.5061/dryad.jh15q,,rehabilitation trial
2016,dryad,dataset,Data from: A 12-week exercise program for pregnant women with obesity to improve physical activity levels: an open randomised preliminary study,https://datadryad.org/dataset/10.5061/dryad.87f03,10.5061/dryad.87f03,,exercise intervention
2016,dryad,dataset,Data from: Cell signaling-based classifier predicts response to induction therapy in elderly patients with acute myeloid leukemia,https://datadryad.org/dataset/10.5061/dryad.94r9s,10.5061/dryad.94r9s,,resistance training trial
2016,zenodo,dataset,Data from: Early sitting in ischemic stroke patients (SEVEL): a randomized controlled trial,https://zenodo.org/records/4975055,10.5061/dryad.jh15q,,stroke rehabilitation
2014,dryad,dataset,Data from: Is there a causal link between knee loading and knee osteoarthritis progression? A systematic review and meta-analysis of cohort studies and randomised trials,https://datadryad.org/dataset/10.5061/dryad.b40hm,10.5061/dryad.b40hm,,knee osteoarthritis
2014,zenodo,dataset,Data from: Electromyography data for non-invasive naturally controlled robotic hand prostheses,https://zenodo.org/records/5034850,10.5061/dryad.1k84r,,physical therapy
2014,zenodo,dataset,Data from: Is there a causal link between knee loading and knee osteoarthritis progression? A systematic review and meta-analysis of cohort studies and randomised trials,https://zenodo.org/records/4964990,10.5061/dryad.b40hm,,knee osteoarthritis
2013,dryad,dataset,Program to Reduce Incontinence through Diet and Exercise (PRIDE),https://datadryad.org/dataset/10.7272/q6pn93h6,10.7272/q6pn93h6,,exercise therapy
2013,dryad,dataset,Data from: Randomised controlled trial of an education and support package for stroke patients and their carers,https://datadryad.org/dataset/10.5061/dryad.4ms68,10.5061/dryad.4ms68,,rehabilitation trial
2013,dryad,dataset,Data from: Internet-delivered therapist-guided physical activity for mild to moderate depression: a randomized controlled trial,https://datadryad.org/dataset/10.5061/dryad.c6q65,10.5061/dryad.c6q65,,exercise intervention
