"baseline","covars","model","inference","est","se","p","df","sigma","singular","n","sd_denom","d","d_resid","ci_lo","ci_hi","ci_width_d","s_value","dup_group","is_dup","study_id","grid_type","spec_id","missing","transform","outlier","outlier_scope"
"endpoint","strat","lm","hc3",0.141963937789306,0.0314664850212567,1.63131100131145e-05,109,0.17329907735847,0,112,0.182747548121158,0.77683087542814,0.819184613981829,0.0795983874608948,0.204329488117716,0.682532279853775,15.9036086235472,58,FALSE,"tereco_PMC8318721","defensible",58,"complete_case","log",NA,NA
"change","strat","lm","hc3",0.114085812931514,0.0232467351198574,3.25082131299166e-06,109,0.120676279936195,0,112,0.182747548121158,0.624280949892017,0.94538722101671,0.0680115396814412,0.160160086181586,0.504239577753746,18.2307643113413,59,FALSE,"tereco_PMC8318721","defensible",59,"complete_case","log",NA,NA
"ancova","strat","lm","hc3",0.123190312865423,0.0187676614867219,1.87974202271107e-09,108,0.0994807171456401,0,112,0.182747548121158,0.674101043389926,1.23833358262861,0.0859895519227477,0.160391073808099,0.407127333035543,28.9868181751118,60,FALSE,"tereco_PMC8318721","defensible",60,"complete_case","log",NA,NA
"endpoint","none","lm","permutation",0.143937677621515,0.0366874182727957,2e-04,110,0.182747548121158,0,112,0.182747548121158,0.78763123829211,0.78763123829211,0.0712318257974195,0.21664352944561,0.795697152400564,12.2877123795494,61,FALSE,"tereco_PMC8318721","defensible",61,"complete_case","log",NA,NA
"change","none","lm","permutation",0.11639484160034,0.0286474717021228,2e-04,110,0.139313186424282,0,112,0.182747548121158,0.636916023207997,0.835490484338333,0.0596222767602036,0.173167406440477,0.621322315115248,12.2877123795494,62,FALSE,"tereco_PMC8318721","defensible",62,"complete_case","log",NA,NA
"ancova","none","lm","permutation",0.125817907514961,0.0257242168563171,2e-04,109,0.119804535535632,0,112,0.182747548121158,0.688479319194732,1.05019319137163,0.0748333460068098,0.176802469023113,0.557978063534399,12.2877123795494,63,FALSE,"tereco_PMC8318721","defensible",63,"complete_case","log",NA,NA
"endpoint","strat","lm","permutation",0.141963937789306,0.0356194486963259,2e-04,109,0.17329907735847,0,112,0.182747548121158,0.77683087542814,0.819184613981829,0.0713673484708512,0.21256052710776,0.77261325850074,12.2877123795494,64,FALSE,"tereco_PMC8318721","defensible",64,"complete_case","log",NA,NA
"change","strat","lm","permutation",0.114085812931514,0.0252841791881381,2e-04,109,0.120676279936195,0,112,0.182747548121158,0.624280949892017,0.94538722101671,0.0639733917759523,0.164198234087075,0.548433307814755,12.2877123795494,65,FALSE,"tereco_PMC8318721","defensible",65,"complete_case","log",NA,NA
"ancova","strat","lm","permutation",0.123190312865423,0.0223280058561452,2e-04,108,0.0994807171456401,0,112,0.182747548121158,0.674101043389926,1.23833358262861,0.0789323317222327,0.167448294008614,0.484361969265366,12.2877123795494,66,FALSE,"tereco_PMC8318721","defensible",66,"complete_case","log",NA,NA
"endpoint","none","lm","model",0.14457543304997,0.0331645248976918,2.89061783104973e-05,112.99061743339,0.179396903771317,0,119,0.182747548121158,0.79112105489984,0.805897036184441,0.0788704686462858,0.210280397453654,0.719079025455631,15.0782625919086,67,FALSE,"tereco_PMC8318721","defensible",67,"mi","log",NA,NA
"change","none","lm","model",0.105538689496385,0.0261820161067975,0.000101847839942229,111.581807810475,0.140902325298481,0,119,0.182747548121158,0.577510837116209,0.749020211503369,0.0536602575296624,0.157417121463107,0.567760634822066,13.2612969965719,68,FALSE,"tereco_PMC8318721","defensible",68,"mi","log",NA,NA
"ancova","none","lm","model",0.119583817489481,0.0224191029971609,5.25112800816424e-07,109.114791040618,0.119513076915027,0,119,0.182747548121158,0.654366193795386,1.00059190656186,0.0751504088516426,0.16401722612732,0.48628185816622,20.8608692991505,69,FALSE,"tereco_PMC8318721","defensible",69,"mi","log",NA,NA
"endpoint","strat","lm","model",0.145425595373572,0.0315144650435352,1.05679805418659e-05,111.783973246211,0.170322398009238,0,119,0.182747548121158,0.795773168333604,0.853825433843903,0.0829824048223561,0.207868785924788,0.683381979054703,16.5299407590774,70,FALSE,"tereco_PMC8318721","defensible",70,"mi","log",NA,NA
"change","strat","lm","model",0.106563985969667,0.0228582460434828,8.89516527605488e-06,109.405702535586,0.122500507966684,0,119,0.182747548121158,0.583121289808044,0.869906482335967,0.0612615709386135,0.151866401000721,0.495792315648681,16.7785471576789,71,FALSE,"tereco_PMC8318721","defensible",71,"mi","log",NA,NA
"ancova","strat","lm","model",0.119839072128325,0.0188438770014682,5.26197631003543e-09,105.734067307966,0.0996682064741866,0,119,0.182747548121158,0.655762954744947,1.20238014074591,0.0824781683520469,0.157199975904603,0.40887994569983,27.5017481006309,72,FALSE,"tereco_PMC8318721","defensible",72,"mi","log",NA,NA
