"study_id","grid_type","n_spec","n","d_median","d_q25","d_q75","d_min","d_max","d_range","share_same_sign","share_ci_excl_0","mcid_d","mcid_source","share_abs_d_gt_mcid","share_ci_excl_mcid","s_median","s_min","s_max","ci_width_d_median","published_d","published_percentile","published_inside_range"
"etip_PMC6886967","strict",3,59,0.191594224595097,0.191594224595097,0.191594224595097,0.191594224595097,0.191594224595097,0,1,0,0.2,"cohen_small_0.2",0,0,1.21893410156404,1.11657248730355,1.26180318324578,0.956355912495498,0.191833451815221,1,FALSE
"etre_PMC11945196","strict",3,16,-0.873918059108339,-0.873918059108339,-0.873918059108339,-0.873918059108339,-0.873918059108339,0,1,1,0.2,"cohen_small_0.2",1,1,8.96578428466209,8.57018803673156,10.7791099333148,1.01840399744818,-0.905026791202848,0,FALSE
"facial_PMC11164989","strict",3,23,1.49482166205522,1.49482166205522,1.49482166205522,1.49482166205522,1.49482166205522,0,1,1,0.2,"cohen_small_0.2",1,1,10.5593616124532,9.48035745749184,11.775284962038,1.54916991031138,NA,NA,NA
"free_PMC6733445","strict",12,214,0.0910923357729172,0.0847214901185924,0.0936324607952206,0.0752668490613692,0.104725269299096,0.0294584202377268,1,0,0.2,"cohen_small_0.2",0,0,0.885806532027262,0.634985171921678,1.07339325874868,0.530080900389325,0.136635290330863,1,FALSE
"gainingmore_PMC10809978","strict",3,39,-0.0900509472501619,-0.0900509472501619,-0.0900509472501619,-0.0900509472501619,-0.0900509472501619,0,1,0,0.2,"cohen_small_0.2",0,0,0.956159859874428,0.876546825059935,0.960159735468209,0.556046743708561,-0.0767982357016106,1,FALSE
"lytras_fms_PMC12942207","strict",3,40,-0.883681732791487,-0.883681732791487,-0.883681732791487,-0.883681732791487,-0.883681732791487,0,1,1,0.2,"cohen_small_0.2",1,1,7.70274987882829,7.30437910177893,8.00161086590247,1.23696571098687,-0.785436780230239,1,FALSE
"mallorca_PMC8198819","strict",3,263,-0.315217401527501,-0.315217401527501,-0.315217401527501,-0.315217401527501,-0.315217401527501,0,1,1,0.2,"cohen_small_0.2",1,0,6.48238171357338,6.36711274107402,6.53282487738598,0.488365930853606,-0.319068593211434,0,FALSE
"mulligan_PMC13092435","strict",3,29,-0.219613272215859,-0.219613272215859,-0.219613272215859,-0.219613272215859,-0.219613272215859,0,1,0,0.2,"cohen_small_0.2",1,0,1.0257920194117,1.02268343709129,1.10881595100215,1.23824931079528,NA,NA,NA
"phosphatidic_PMC4891923","strict",3,18,0.105685323791767,0.105685323791767,0.105685323791767,0.105685323791767,0.105685323791767,0,1,0.333333333333333,0.2,"cohen_small_0.2",0,0,4.40506933018761,3.69881513259767,4.64469691601139,0.234695603939181,NA,NA,NA
"physiofeedback_PMC12821712","strict",8,276,0.113992401586925,0.108440985035858,0.132542402644447,0.0899456982518008,0.132542402644447,0.0425967043926462,1,0,0.2,"cohen_small_0.2",0,0,1.50914946592665,0.801883245591318,1.93898422531837,0.466907471659744,NA,NA,NA
"spadi_PMC4880881","strict",3,71,-0.974920466439817,-0.974920466439817,-0.974920466439817,-0.974920466439817,-0.974920466439817,0,1,1,0.2,"cohen_small_0.2",1,1,17.3308327790977,12.2877123795494,17.4586273013405,0.792889611028416,-0.911754806228564,1,FALSE
"tdcs_PMC13257960","strict",3,20,1.42370139220887,1.42370139220887,1.42370139220887,1.42370139220887,1.42370139220887,0,1,1,0.2,"cohen_small_0.2",1,1,7.59161460162865,6.76832751105066,9.28771237954945,2.04413498421737,1.40572317786839,0,FALSE
"tereco_PMC8318721","strict",6,112,0.842797691973665,0.834095844459903,0.851499539487428,0.834095844459903,0.851499539487428,0.0174036950275249,1,1,0.2,"cohen_small_0.2",1,1,24.301832126687,12.2877123795494,31.8907104894488,0.575311124616449,0.838028698240042,0.5,TRUE
"tscs_PMC13085461","strict",3,20,0.975109014672084,0.975109014672084,0.975109014672084,0.975109014672084,0.975109014672084,0,1,1,0.2,"cohen_small_0.2",1,1,17.2503677689862,12.2877123795494,18.105595805483,0.641490092844716,0.975600366313781,1,FALSE
