"node","share","study_id","grid_type"
"outlier",0,"creatine_PMC11944689","defensible"
"inference",0,"creatine_PMC11944689","defensible"
"population",0,"creatine_PMC11944689","defensible"
"transform",9.16880443584217,"creatine_PMC11944689","defensible"
"outlier_scope",0,"creatine_PMC11944689","defensible"
"baseline",7.0325038307024,"free_PMC6733445","defensible"
"covars",0,"free_PMC6733445","defensible"
"outlier",80.234414817406,"free_PMC6733445","defensible"
"model",2.74441091618793,"free_PMC6733445","defensible"
"inference",0,"free_PMC6733445","defensible"
"population",9.66905780078181,"free_PMC6733445","defensible"
"outlier_scope",0.31961263492187,"free_PMC6733445","defensible"
"df_method",0,"free_PMC6733445","defensible"
"outlier",27.2112919096062,"odinet_PMC8830646","defensible"
"inference",0,"odinet_PMC8830646","defensible"
"population",0,"odinet_PMC8830646","defensible"
"transform",48.1768107419551,"odinet_PMC8830646","defensible"
"outlier_scope",24.6118973484387,"odinet_PMC8830646","defensible"
"baseline",96.8187488021427,"pregnancy12w_PMC4573757","defensible"
"covars",0.0425714283888944,"pregnancy12w_PMC4573757","defensible"
"outlier",0.383625721816266,"pregnancy12w_PMC4573757","defensible"
"inference",0,"pregnancy12w_PMC4573757","defensible"
"population",0.00448486826275266,"pregnancy12w_PMC4573757","defensible"
"transform",2.5780762116257,"pregnancy12w_PMC4573757","defensible"
"outlier_scope",0.172492967763725,"pregnancy12w_PMC4573757","defensible"
"baseline",94.0958016381586,"mallorca_PMC8198819","defensible"
"covars",0,"mallorca_PMC8198819","defensible"
"outlier",4.6434315221951,"mallorca_PMC8198819","defensible"
"inference",0,"mallorca_PMC8198819","defensible"
"population",1.24267708356617,"mallorca_PMC8198819","defensible"
"outlier_scope",0.0180897560801361,"mallorca_PMC8198819","defensible"
